mode,batch,seq,tokens,visible_chip_pool,active_world_size,status,report
serial,2,128,20,16,2,ok,results_npu/serial/report_serial_b2_s128_t20.md
serial,4,128,20,16,2,ok,results_npu/serial/report_serial_b4_s128_t20.md
serial,8,128,20,16,2,ok,results_npu/serial/report_serial_b8_s128_t20.md
serial,16,128,20,16,2,ok,results_npu/serial/report_serial_b16_s128_t20.md
serial,32,128,20,16,2,ok,results_npu/serial/report_serial_b32_s128_t20.md
serial,64,128,20,16,2,ok,results_npu/serial/report_serial_b64_s128_t20.md
serial,128,128,20,16,2,ok,results_npu/serial/report_serial_b128_s128_t20.md
serial,256,128,20,16,2,ok,results_npu/serial/report_serial_b256_s128_t20.md
serial,2,256,20,16,2,ok,results_npu/serial/report_serial_b2_s256_t20.md
serial,4,256,20,16,2,ok,results_npu/serial/report_serial_b4_s256_t20.md
serial,8,256,20,16,2,ok,results_npu/serial/report_serial_b8_s256_t20.md
serial,16,256,20,16,2,ok,results_npu/serial/report_serial_b16_s256_t20.md
serial,32,256,20,16,2,ok,results_npu/serial/report_serial_b32_s256_t20.md
serial,64,256,20,16,2,ok,results_npu/serial/report_serial_b64_s256_t20.md
serial,128,256,20,16,2,ok,results_npu/serial/report_serial_b128_s256_t20.md
serial,256,256,20,16,2,ok,results_npu/serial/report_serial_b256_s256_t20.md
serial,2,512,20,16,2,ok,results_npu/serial/report_serial_b2_s512_t20.md
serial,4,512,20,16,2,ok,results_npu/serial/report_serial_b4_s512_t20.md
serial,8,512,20,16,2,ok,results_npu/serial/report_serial_b8_s512_t20.md
serial,16,512,20,16,2,ok,results_npu/serial/report_serial_b16_s512_t20.md
serial,32,512,20,16,2,ok,results_npu/serial/report_serial_b32_s512_t20.md
serial,64,512,20,16,2,ok,results_npu/serial/report_serial_b64_s512_t20.md
serial,128,512,20,16,2,ok,results_npu/serial/report_serial_b128_s512_t20.md
serial,256,512,20,16,2,ok,results_npu/serial/report_serial_b256_s512_t20.md
prefill-dbo,2,128,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b2_s128_t20.md
prefill-dbo,4,128,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b4_s128_t20.md
prefill-dbo,8,128,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b8_s128_t20.md
prefill-dbo,16,128,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b16_s128_t20.md
prefill-dbo,32,128,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b32_s128_t20.md
prefill-dbo,64,128,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b64_s128_t20.md
prefill-dbo,128,128,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b128_s128_t20.md
prefill-dbo,256,128,20,16,2,OOM,
prefill-dbo,2,256,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b2_s256_t20.md
prefill-dbo,4,256,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b4_s256_t20.md
prefill-dbo,8,256,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b8_s256_t20.md
prefill-dbo,16,256,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b16_s256_t20.md
prefill-dbo,32,256,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b32_s256_t20.md
prefill-dbo,64,256,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b64_s256_t20.md
prefill-dbo,128,256,20,16,2,OOM,
prefill-dbo,2,512,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b2_s512_t20.md
prefill-dbo,4,512,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b4_s512_t20.md
prefill-dbo,8,512,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b8_s512_t20.md
prefill-dbo,16,512,20,16,2,ok,results_npu/prefill-dbo/report_prefill-dbo_b16_s512_t20.md
